配对编号,同题材标签,组别,导演姓名,影片片名,上映年份,女性主角/女性中心角色,明确年龄或年龄段,来源链接,女主角身份设定,故事结局类型,结局细分标签,故事结局流向概述
40,高中女性/自我表达,男导演对照,陈正道,盛夏光年,2006,慧嘉,高中至青年阶段，约17-20岁,https://movie.douban.com/subject_search?search_text=%E7%9B%9B%E5%A4%8F%E5%85%89%E5%B9%B4,高中至青年阶段的女性朋友/三角关系成员,分离/告别,开放式/青春分离,慧嘉处于三人关系的情感张力中，影片没有给出稳定配对或家庭式归宿。
41,老年/公路游牧,女导演作品,赵婷,无依之地,2020,Fern,60多岁,https://movie.douban.com/subject_search?search_text=%E6%97%A0%E4%BE%9D%E4%B9%8B%E5%9C%B0,老年游牧劳动者/寡妇,自我实现,自我实现/继续漂泊,Fern拒绝固定家庭安置，继续房车游牧生活，结局确认非家庭化的自主选择。
41,老年/公路游牧,男导演对照,张杨,落叶归根,2007,女性角色为中老年旅途配角,中老年,https://movie.douban.com/subject_search?search_text=%E8%90%BD%E5%8F%B6%E5%BD%92%E6%A0%B9,中老年旅途女性配角,旁线/非女性主线,旁线退场/男性旅程完成,女性角色是男性送尸返乡路上的阶段性相遇，结局主线完成在男性旅程。
42,母亲/动画隐喻,女导演作品,石之予,包宝宝,2018,母亲,中年女性,https://movie.douban.com/subject_search?search_text=%E5%8C%85%E5%AE%9D%E5%AE%9D,中年母亲/空巢焦虑母亲,回归家庭/家庭修复,家庭修复,母亲通过幻想中的包宝宝面对控制欲和分离焦虑，结尾与成年儿子和解。
42,母亲/动画隐喻,男导演对照,饺子,哪吒之魔童降世,2019,殷夫人,成年母亲,https://movie.douban.com/subject_search?search_text=%E5%93%AA%E5%90%92%E4%B9%8B%E9%AD%94%E7%AB%A5%E9%99%8D%E4%B8%96,殷夫人/母亲,回归家庭/家庭修复,家庭守护/牺牲边缘,殷夫人作为母亲参与守护哪吒，结局主线是哪吒反抗命运，母亲回到家庭守护位置。
43,青春期女孩/动画,女导演作品,石之予,青春变形记,2022,李美莲/Mei,13岁,https://movie.douban.com/subject_search?search_text=%E9%9D%92%E6%98%A5%E5%8F%98%E5%BD%A2%E8%AE%B0,13岁华裔女孩/学生,回归家庭/家庭修复,自我认同/家庭修复,Mei保留小熊猫能力并与母亲达成理解，结局将青春期自我表达和母女修复并置。
43,青春期女孩/动画,男导演对照,田晓鹏,深海,2023,参宿,少女，约10-15岁,https://movie.douban.com/subject_search?search_text=%E6%B7%B1%E6%B5%B7,少女/抑郁与幻想中的孩子,自我实现,自我救赎/开放式,参宿在幻想旅程中获得被拯救和继续生活的力量，结局保留现实创伤后的开放未来。
44,原住民/家庭女性,女导演作品,陈洁瑶,哈勇家,2022,家族女性成员,少女至中老年女性,https://movie.douban.com/subject_search?search_text=%E5%93%88%E5%8B%87%E5%AE%B6,原住民家族女性成员/母亲与少女,回归家庭/家庭修复,家庭修复/开放式,家族在选举、经济和代际冲突后继续面对生活，女性角色共享家庭韧性而非单一归宿。
44,原住民/家庭女性,男导演对照,魏德圣,赛德克·巴莱,2011,部落女性群像,少女至成年女性,https://movie.douban.com/subject_search?search_text=%E8%B5%9B%E5%BE%B7%E5%85%8B%C2%B7%E5%B7%B4%E8%8E%B1,部落女性群像,死亡,死亡/族群牺牲,部落女性在战争与集体命运中大量死亡或牺牲，结局归入族群悲剧。
45,家庭伦理/听障校园,女导演作品,柯贞年,无声,2020,贝贝/女学生,中学生，约13-16岁,https://movie.douban.com/subject_search?search_text=%E6%97%A0%E5%A3%B0,听障校园女学生/受害者,陷于困境,陷于困境/创伤延续,贝贝等受害者的处境没有被圆满修复，结局强调制度性沉默和创伤延续。
45,家庭伦理/听障校园,男导演对照,钟孟宏,第四张画,2010,女性照护者,成年女性，约30-40岁,https://movie.douban.com/subject_search?search_text=%E7%AC%AC%E5%9B%9B%E5%BC%A0%E7%94%BB,母亲/继父家庭中的女性照护者,陷于困境,开放式/困境延续,女性照护者未获得清晰主体性结局，影片更多以儿童视角留下家庭创伤和社会困境。
46,华裔女性家庭史,女导演作品,王颖,喜福会,1993,母亲/女儿群像,女儿约30多岁；母亲中老年至老年,https://movie.douban.com/subject_search?search_text=%E5%96%9C%E7%A6%8F%E4%BC%9A,华裔母亲/女儿群像,回归家庭/家庭修复,家庭修复/身份和解,母女叙事通过回忆和跨国团聚走向理解，结局强调华裔女性家族史的和解。
46,华裔女性家庭史,男导演对照,李安,饮食男女,1994,三姐妹,20多岁至30多岁,https://movie.douban.com/subject_search?search_text=%E9%A5%AE%E9%A3%9F%E7%94%B7%E5%A5%B3,三姐妹/都市家庭女性,回归家庭/家庭修复,家庭重组/自我选择,三姐妹各自进入新的关系或生活方向，父亲再婚反转也促成家庭结构重组。
47,女性犯罪/悬疑,女导演作品,麻赢心,鹦鹉杀,2023,周冉,成年女性，约30岁,https://movie.douban.com/subject_search?search_text=%E9%B9%A6%E9%B9%89%E6%9D%80,周冉/情感诈骗受害者,自我实现,复仇/开放式,周冉追索诈骗真相并反击情感骗局，结局偏向夺回主动权但保留道德和关系开放性。
47,女性犯罪/悬疑,男导演对照,陈正道,催眠大师,2014,任小妍,成年女性，约30岁,https://movie.douban.com/subject_search?search_text=%E5%82%AC%E7%9C%A0%E5%A4%A7%E5%B8%88,任小妍/心理创伤女性,开放式/继续前行,创伤揭示/治疗开放,任小妍的身份与催眠局被揭开，结局以心理创伤被看见和治疗可能收束。
48,女性出走/中年自我,女导演作品,尹丽川,出走的决心,2024,李红,中老年女性，约50岁以上,https://movie.douban.com/subject_search?search_text=%E5%87%BA%E8%B5%B0%E7%9A%84%E5%86%B3%E5%BF%83,中老年家庭主妇/自驾出走者,自我实现,自我实现/出走,李红在长期家庭压抑后驾车离开，结局明确把流向放在中年女性重新上路。
48,女性出走/中年自我,男导演对照,张扬,冈仁波齐,2015,女性朝圣者,成年至中老年女性,https://movie.douban.com/subject_search?search_text=%E5%86%88%E4%BB%81%E6%B3%A2%E9%BD%90,女性朝圣者/家庭与信仰角色,自我实现,精神完成/开放式,女性朝圣者随队完成或继续朝圣，结局强调信仰旅程而非个人爱情家庭归宿。
49,女性身体/怀孕生产,女导演作品,黄骥,鸡蛋和石头,2012,女孩,少女，约14岁,https://movie.douban.com/subject_search?search_text=%E9%B8%A1%E8%9B%8B%E5%92%8C%E7%9F%B3%E5%A4%B4,乡村留守少女/性侵受害者,陷于困境,陷于困境/开放式,女孩遭遇性侵后的处境未被制度性解决，结局保留压抑和困境。
49,女性身体/怀孕生产,男导演对照,李杨,盲山,2007,白雪梅,女大学生，约20岁,https://movie.douban.com/subject_search?search_text=%E7%9B%B2%E5%B1%B1,被拐女大学生/被迫成婚者,陷于困境,陷于困境/开放式,白雪梅的逃离被暴力和乡村秩序阻断，结局版本虽有差异，但核心是未获真正解救。
50,女性跨国/漂泊,女导演作品,郭小橹,她眼中的UFO,2012,乡村女性主角,成年女性，约20-30岁,https://movie.douban.com/subject_search?search_text=%E5%A5%B9%E7%9C%BC%E4%B8%AD%E7%9A%84UFO,乡村女性/事件目击者,开放式/继续前行,开放式/异化,UFO事件带来村庄开发和权力介入，女性主角未获得清晰解放，结局偏超现实开放。
50,女性跨国/漂泊,男导演对照,张律,芒种,2005,崔顺姬,成年女性，约30岁,https://movie.douban.com/subject_search?search_text=%E8%8A%92%E7%A7%8D,朝鲜族单身母亲/小贩,陷于困境,陷于困境/开放式,崔顺姬在性别、族裔和生计压力中艰难求生，结局延续现实困境而非圆满出路。
