序号,导演姓名,性别,活跃地区,代表作品,上映年份,作品类型,故事发生时代,故事发生地区,第一主演性别,番位分类,番位判定依据,资料来源/判断依据,来源链接,选择理由
51,娄烨,男,大陆,春风沉醉的夜晚,2009,剧情/同性,当代,南京,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%98%A5%E9%A3%8E%E6%B2%89%E9%86%89%E7%9A%84%E5%A4%9C%E6%99%9A%20%E5%A8%84%E7%83%A8,https://movie.douban.com/subject_search?search_text=%E6%98%A5%E9%A3%8E%E6%B2%89%E9%86%89%E7%9A%84%E5%A4%9C%E6%99%9A%20%E5%A8%84%E7%83%A8,独立作者电影代表
52,娄烨,男,大陆,浮城谜事,2012,剧情/悬疑/犯罪,当代,中国都市,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%B5%AE%E5%9F%8E%E8%B0%9C%E4%BA%8B%20%E5%A8%84%E7%83%A8,https://movie.douban.com/subject_search?search_text=%E6%B5%AE%E5%9F%8E%E8%B0%9C%E4%BA%8B%20%E5%A8%84%E7%83%A8,都市悬疑现实题材代表
53,娄烨,男,大陆,推拿,2014,剧情,当代,南京盲人按摩院,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%8E%A8%E6%8B%BF%20%E5%A8%84%E7%83%A8,https://movie.douban.com/subject_search?search_text=%E6%8E%A8%E6%8B%BF%20%E5%A8%84%E7%83%A8,边缘群体现实题材代表
54,娄烨,男,大陆,风中有朵雨做的云,2018,剧情/悬疑/犯罪,1989-2010s,广州、香港等,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%A3%8E%E4%B8%AD%E6%9C%89%E6%9C%B5%E9%9B%A8%E5%81%9A%E7%9A%84%E4%BA%91%20%E5%A8%84%E7%83%A8,https://movie.douban.com/subject_search?search_text=%E9%A3%8E%E4%B8%AD%E6%9C%89%E6%9C%B5%E9%9B%A8%E5%81%9A%E7%9A%84%E4%BA%91%20%E5%A8%84%E7%83%A8,城市拆迁与犯罪叙事代表
55,娄烨,男,大陆,兰心大剧院,2019,剧情/谍战/历史,1941年太平洋战争前夕,上海租界,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%85%B0%E5%BF%83%E5%A4%A7%E5%89%A7%E9%99%A2%20%E5%A8%84%E7%83%A8,https://movie.douban.com/subject_search?search_text=%E5%85%B0%E5%BF%83%E5%A4%A7%E5%89%A7%E9%99%A2%20%E5%A8%84%E7%83%A8,黑白谍战作者片代表
56,王小帅,男,大陆,十七岁的单车,2001,剧情/青春,当代,北京,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8D%81%E4%B8%83%E5%B2%81%E7%9A%84%E5%8D%95%E8%BD%A6%20%E7%8E%8B%E5%B0%8F%E5%B8%85,https://movie.douban.com/subject_search?search_text=%E5%8D%81%E4%B8%83%E5%B2%81%E7%9A%84%E5%8D%95%E8%BD%A6%20%E7%8E%8B%E5%B0%8F%E5%B8%85,第六代城市青年代表
57,王小帅,男,大陆,青红,2005,剧情,20世纪80年代,贵州三线工厂/内地小城,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%9D%92%E7%BA%A2%20%E7%8E%8B%E5%B0%8F%E5%B8%85,https://movie.douban.com/subject_search?search_text=%E9%9D%92%E7%BA%A2%20%E7%8E%8B%E5%B0%8F%E5%B8%85,三线建设与青春记忆代表
58,王小帅,男,大陆,左右,2008,剧情/家庭,当代,北京,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%B7%A6%E5%8F%B3%20%E7%8E%8B%E5%B0%8F%E5%B8%85,https://movie.douban.com/subject_search?search_text=%E5%B7%A6%E5%8F%B3%20%E7%8E%8B%E5%B0%8F%E5%B8%85,家庭伦理现实题材代表
59,王小帅,男,大陆,重庆蓝调,2010,剧情,当代,重庆,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%87%8D%E5%BA%86%E8%93%9D%E8%B0%83%20%E7%8E%8B%E5%B0%8F%E5%B8%85,https://movie.douban.com/subject_search?search_text=%E9%87%8D%E5%BA%86%E8%93%9D%E8%B0%83%20%E7%8E%8B%E5%B0%8F%E5%B8%85,父子伦理与城市题材代表
60,王小帅,男,大陆,我11,2011,剧情/犯罪/青春,20世纪70年代,贵州三线工厂/少年生活空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%88%9111%20%E7%8E%8B%E5%B0%8F%E5%B8%85,https://movie.douban.com/subject_search?search_text=%E6%88%9111%20%E7%8E%8B%E5%B0%8F%E5%B8%85,文革后少年记忆代表
61,王小帅,男,大陆,地久天长,2019,剧情/家庭,1980s-2010s,中国北方城市/家庭空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%9C%B0%E4%B9%85%E5%A4%A9%E9%95%BF%20%E7%8E%8B%E5%B0%8F%E5%B8%85,https://movie.douban.com/subject_search?search_text=%E5%9C%B0%E4%B9%85%E5%A4%A9%E9%95%BF%20%E7%8E%8B%E5%B0%8F%E5%B8%85,家庭史与社会变迁代表
62,宁浩,男,大陆,绿草地,2005,剧情/喜剧,当代,内蒙古草原,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%BB%BF%E8%8D%89%E5%9C%B0%20%E5%AE%81%E6%B5%A9,https://movie.douban.com/subject_search?search_text=%E7%BB%BF%E8%8D%89%E5%9C%B0%20%E5%AE%81%E6%B5%A9,青年导演早期代表
63,宁浩,男,大陆,疯狂的石头,2006,喜剧/犯罪,当代,重庆,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%96%AF%E7%8B%82%E7%9A%84%E7%9F%B3%E5%A4%B4%20%E5%AE%81%E6%B5%A9,https://movie.douban.com/subject_search?search_text=%E7%96%AF%E7%8B%82%E7%9A%84%E7%9F%B3%E5%A4%B4%20%E5%AE%81%E6%B5%A9,国产黑色喜剧类型片代表
64,宁浩,男,大陆,疯狂的赛车,2009,喜剧/动作/犯罪,当代,中国沿海城市/赛车与市井空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%96%AF%E7%8B%82%E7%9A%84%E8%B5%9B%E8%BD%A6%20%E5%AE%81%E6%B5%A9,https://movie.douban.com/subject_search?search_text=%E7%96%AF%E7%8B%82%E7%9A%84%E8%B5%9B%E8%BD%A6%20%E5%AE%81%E6%B5%A9,多线叙事喜剧代表
65,宁浩,男,大陆,无人区,2013,剧情/犯罪/西部,当代,中国西北无人区/戈壁公路,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%97%A0%E4%BA%BA%E5%8C%BA%20%E5%AE%81%E6%B5%A9,https://movie.douban.com/subject_search?search_text=%E6%97%A0%E4%BA%BA%E5%8C%BA%20%E5%AE%81%E6%B5%A9,公路犯罪类型片代表
66,宁浩,男,大陆,心花路放,2014,喜剧/爱情/公路,当代,中国公路旅途、大理等,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%BF%83%E8%8A%B1%E8%B7%AF%E6%94%BE%20%E5%AE%81%E6%B5%A9,https://movie.douban.com/subject_search?search_text=%E5%BF%83%E8%8A%B1%E8%B7%AF%E6%94%BE%20%E5%AE%81%E6%B5%A9,商业公路喜剧代表
67,宁浩,男,大陆,疯狂的外星人,2019,喜剧/科幻,当代/科幻寓言,中国城市与外星文明接触空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%96%AF%E7%8B%82%E7%9A%84%E5%A4%96%E6%98%9F%E4%BA%BA%20%E5%AE%81%E6%B5%A9,https://movie.douban.com/subject_search?search_text=%E7%96%AF%E7%8B%82%E7%9A%84%E5%A4%96%E6%98%9F%E4%BA%BA%20%E5%AE%81%E6%B5%A9,科幻喜剧商业片代表
68,陆川,男,大陆,寻枪,2002,剧情/悬疑/犯罪,当代,贵州小城,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%AF%BB%E6%9E%AA%20%E9%99%86%E5%B7%9D,https://movie.douban.com/subject_search?search_text=%E5%AF%BB%E6%9E%AA%20%E9%99%86%E5%B7%9D,新世纪青年导演类型化代表
69,陆川,男,大陆,可可西里,2004,剧情/冒险,当代,青海可可西里,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8F%AF%E5%8F%AF%E8%A5%BF%E9%87%8C%20%E9%99%86%E5%B7%9D,https://movie.douban.com/subject_search?search_text=%E5%8F%AF%E5%8F%AF%E8%A5%BF%E9%87%8C%20%E9%99%86%E5%B7%9D,自然保护与现实主义代表
70,陆川,男,大陆,南京！南京！,2009,战争/历史/剧情,1937年南京大屠杀时期,南京,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8D%97%E4%BA%AC%EF%BC%81%E5%8D%97%E4%BA%AC%EF%BC%81%20%E9%99%86%E5%B7%9D,https://movie.douban.com/subject_search?search_text=%E5%8D%97%E4%BA%AC%EF%BC%81%E5%8D%97%E4%BA%AC%EF%BC%81%20%E9%99%86%E5%B7%9D,南京大屠杀历史题材代表
71,陆川,男,大陆,王的盛宴,2012,历史/古装/剧情,秦末汉初,咸阳、鸿门宴与楚汉战场空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%8E%8B%E7%9A%84%E7%9B%9B%E5%AE%B4%20%E9%99%86%E5%B7%9D,https://movie.douban.com/subject_search?search_text=%E7%8E%8B%E7%9A%84%E7%9B%9B%E5%AE%B4%20%E9%99%86%E5%B7%9D,历史重述题材代表
72,陆川,男,大陆,九层妖塔,2015,动作/冒险/奇幻,当代与远古遗迹传说交错,昆仑山、石油小镇、沙漠遗迹,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B9%9D%E5%B1%82%E5%A6%96%E5%A1%94%20%E9%99%86%E5%B7%9D,https://movie.douban.com/subject_search?search_text=%E4%B9%9D%E5%B1%82%E5%A6%96%E5%A1%94%20%E9%99%86%E5%B7%9D,IP奇幻冒险片代表
73,曹保平,男,大陆,光荣的愤怒,2006,剧情/黑色喜剧,当代,中国乡村/村庄权力空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%85%89%E8%8D%A3%E7%9A%84%E6%84%A4%E6%80%92%20%E6%9B%B9%E4%BF%9D%E5%B9%B3,https://movie.douban.com/subject_search?search_text=%E5%85%89%E8%8D%A3%E7%9A%84%E6%84%A4%E6%80%92%20%E6%9B%B9%E4%BF%9D%E5%B9%B3,乡村权力讽刺题材代表
74,曹保平,男,大陆,李米的猜想,2008,剧情/爱情/犯罪,当代,云南昆明及周边,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%9D%8E%E7%B1%B3%E7%9A%84%E7%8C%9C%E6%83%B3%20%E6%9B%B9%E4%BF%9D%E5%B9%B3,https://movie.douban.com/subject_search?search_text=%E6%9D%8E%E7%B1%B3%E7%9A%84%E7%8C%9C%E6%83%B3%20%E6%9B%B9%E4%BF%9D%E5%B9%B3,现实犯罪爱情题材代表
75,曹保平,男,大陆,烈日灼心,2015,剧情/犯罪/悬疑,当代,厦门/中国南方城市,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%83%88%E6%97%A5%E7%81%BC%E5%BF%83%20%E6%9B%B9%E4%BF%9D%E5%B9%B3,https://movie.douban.com/subject_search?search_text=%E7%83%88%E6%97%A5%E7%81%BC%E5%BF%83%20%E6%9B%B9%E4%BF%9D%E5%B9%B3,犯罪类型片代表
76,曹保平,男,大陆,追凶者也,2016,剧情/喜剧/犯罪,当代,云南边境小镇,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%BF%BD%E5%87%B6%E8%80%85%E4%B9%9F%20%E6%9B%B9%E4%BF%9D%E5%B9%B3,https://movie.douban.com/subject_search?search_text=%E8%BF%BD%E5%87%B6%E8%80%85%E4%B9%9F%20%E6%9B%B9%E4%BF%9D%E5%B9%B3,黑色犯罪喜剧代表
77,曹保平,男,大陆,涉过愤怒的海,2023,剧情/犯罪/悬疑,当代,中国沿海城市、日本东京等,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：http://www.wikidata.org/entity/Q109256899,http://www.wikidata.org/entity/Q109256899,家庭犯罪与社会议题代表
78,刁亦男,男,大陆,制服,2003,剧情/犯罪,1990年代,中国城市,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%88%B6%E6%9C%8D%20%E5%88%81%E4%BA%A6%E7%94%B7,https://movie.douban.com/subject_search?search_text=%E5%88%B6%E6%9C%8D%20%E5%88%81%E4%BA%A6%E7%94%B7,独立犯罪现实题材代表
79,刁亦男,男,大陆,夜车,2007,剧情,当代,中国小城/铁路沿线,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A4%9C%E8%BD%A6%20%E5%88%81%E4%BA%A6%E7%94%B7,https://movie.douban.com/subject_search?search_text=%E5%A4%9C%E8%BD%A6%20%E5%88%81%E4%BA%A6%E7%94%B7,边缘女性与罪案题材代表
80,刁亦男,男,大陆,白日焰火,2014,剧情/悬疑/犯罪,1999年前后,中国东北工业城市,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%99%BD%E6%97%A5%E7%84%B0%E7%81%AB%20%E5%88%81%E4%BA%A6%E7%94%B7,https://movie.douban.com/subject_search?search_text=%E7%99%BD%E6%97%A5%E7%84%B0%E7%81%AB%20%E5%88%81%E4%BA%A6%E7%94%B7,柏林金熊犯罪片代表
81,刁亦男,男,大陆,南方车站的聚会,2019,剧情/犯罪,当代,武汉/南方车站与城中村空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8D%97%E6%96%B9%E8%BD%A6%E7%AB%99%E7%9A%84%E8%81%9A%E4%BC%9A%20%E5%88%81%E4%BA%A6%E7%94%B7,https://movie.douban.com/subject_search?search_text=%E5%8D%97%E6%96%B9%E8%BD%A6%E7%AB%99%E7%9A%84%E8%81%9A%E4%BC%9A%20%E5%88%81%E4%BA%A6%E7%94%B7,作者犯罪类型片代表
82,管虎,男,大陆,斗牛,2009,剧情/喜剧/战争,抗日战争时期,华北农村,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%96%97%E7%89%9B%20%E7%AE%A1%E8%99%8E,https://movie.douban.com/subject_search?search_text=%E6%96%97%E7%89%9B%20%E7%AE%A1%E8%99%8E,战争黑色喜剧代表
83,管虎,男,大陆,杀生,2012,剧情/悬疑,民国/寓言化年代,西南长寿镇,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%9D%80%E7%94%9F%20%E7%AE%A1%E8%99%8E,https://movie.douban.com/subject_search?search_text=%E6%9D%80%E7%94%9F%20%E7%AE%A1%E8%99%8E,荒诞悬疑题材代表
84,管虎,男,大陆,老炮儿,2015,剧情/犯罪,当代,北京胡同/城市江湖空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%80%81%E7%82%AE%E5%84%BF%20%E7%AE%A1%E8%99%8E,https://movie.douban.com/subject_search?search_text=%E8%80%81%E7%82%AE%E5%84%BF%20%E7%AE%A1%E8%99%8E,北京城市江湖题材代表
85,管虎,男,大陆,八佰,2020,战争/历史/剧情,1937年淞沪会战时期,上海四行仓库,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%85%AB%E4%BD%B0%20%E7%AE%A1%E8%99%8E,https://movie.douban.com/subject_search?search_text=%E5%85%AB%E4%BD%B0%20%E7%AE%A1%E8%99%8E,新主流战争大片代表
86,管虎,男,大陆,金刚川,2020,战争/历史,1953年抗美援朝时期,朝鲜金刚川,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%87%91%E5%88%9A%E5%B7%9D%20%E7%AE%A1%E8%99%8E,https://movie.douban.com/subject_search?search_text=%E9%87%91%E5%88%9A%E5%B7%9D%20%E7%AE%A1%E8%99%8E,抗美援朝战争片代表
87,郭帆,男,大陆,李献计历险记,2011,爱情/奇幻/动画元素,当代/科幻穿越,北京与虚构时空,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%9D%8E%E7%8C%AE%E8%AE%A1%E5%8E%86%E9%99%A9%E8%AE%B0%20%E9%83%AD%E5%B8%86,https://movie.douban.com/subject_search?search_text=%E6%9D%8E%E7%8C%AE%E8%AE%A1%E5%8E%86%E9%99%A9%E8%AE%B0%20%E9%83%AD%E5%B8%86,青年导演早期代表
88,郭帆,男,大陆,流浪地球,2019,科幻/冒险/灾难,近未来/太阳危机时代,地球地下城、太空与北京地下城,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%B5%81%E6%B5%AA%E5%9C%B0%E7%90%83%20%E9%83%AD%E5%B8%86,https://movie.douban.com/subject_search?search_text=%E6%B5%81%E6%B5%AA%E5%9C%B0%E7%90%83%20%E9%83%AD%E5%B8%86,国产硬科幻商业片代表
89,郭帆,男,大陆,流浪地球2,2023,科幻/冒险/灾难,2044-2058年前后/近未来,地球、月球、北京航天空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：http://www.wikidata.org/entity/Q108659445,http://www.wikidata.org/entity/Q108659445,国产科幻工业升级代表
90,文牧野,男,大陆,我不是药神,2018,剧情/喜剧/社会议题,当代,上海及印度仿制药线索空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%88%91%E4%B8%8D%E6%98%AF%E8%8D%AF%E7%A5%9E%20%E6%96%87%E7%89%A7%E9%87%8E,https://movie.douban.com/subject_search?search_text=%E6%88%91%E4%B8%8D%E6%98%AF%E8%8D%AF%E7%A5%9E%20%E6%96%87%E7%89%A7%E9%87%8E,现实主义商业片代表
91,文牧野,男,大陆,奇迹·笨小孩,2022,剧情/创业,当代,深圳,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A5%87%E8%BF%B9%C2%B7%E7%AC%A8%E5%B0%8F%E5%AD%A9%20%E6%96%87%E7%89%A7%E9%87%8E,https://movie.douban.com/subject_search?search_text=%E5%A5%87%E8%BF%B9%C2%B7%E7%AC%A8%E5%B0%8F%E5%AD%A9%20%E6%96%87%E7%89%A7%E9%87%8E,现实励志题材代表
92,韩延,男,大陆,滚蛋吧！肿瘤君,2015,喜剧/爱情/剧情,当代,北京/医院与生活空间,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%BB%9A%E8%9B%8B%E5%90%A7%EF%BC%81%E8%82%BF%E7%98%A4%E5%90%9B%20%E9%9F%A9%E5%BB%B6,https://movie.douban.com/subject_search?search_text=%E6%BB%9A%E8%9B%8B%E5%90%A7%EF%BC%81%E8%82%BF%E7%98%A4%E5%90%9B%20%E9%9F%A9%E5%BB%B6,疾病题材商业片代表
93,韩延,男,大陆,动物世界,2018,动作/悬疑/冒险,当代/游戏化叙事,中国城市与虚构游戏空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8A%A8%E7%89%A9%E4%B8%96%E7%95%8C%20%E9%9F%A9%E5%BB%B6,https://movie.douban.com/subject_search?search_text=%E5%8A%A8%E7%89%A9%E4%B8%96%E7%95%8C%20%E9%9F%A9%E5%BB%B6,漫画改编类型片代表
94,韩延,男,大陆,送你一朵小红花,2020,剧情/家庭,当代,中国城市/家庭与抗癌生活空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%80%81%E4%BD%A0%E4%B8%80%E6%9C%B5%E5%B0%8F%E7%BA%A2%E8%8A%B1%20%E9%9F%A9%E5%BB%B6,https://movie.douban.com/subject_search?search_text=%E9%80%81%E4%BD%A0%E4%B8%80%E6%9C%B5%E5%B0%8F%E7%BA%A2%E8%8A%B1%20%E9%9F%A9%E5%BB%B6,疾病与家庭情感题材代表
95,韩延,男,大陆,我爱你！,2023,剧情/爱情,当代,中国城市/老年生活空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%88%91%E7%88%B1%E4%BD%A0%EF%BC%81%20%E9%9F%A9%E5%BB%B6,https://movie.douban.com/subject_search?search_text=%E6%88%91%E7%88%B1%E4%BD%A0%EF%BC%81%20%E9%9F%A9%E5%BB%B6,老年爱情题材代表
96,陈思诚,男,大陆,北京爱情故事,2014,爱情/剧情,当代,北京/多段都市爱情空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8C%97%E4%BA%AC%E7%88%B1%E6%83%85%E6%95%85%E4%BA%8B%20%E9%99%88%E6%80%9D%E8%AF%9A,https://movie.douban.com/subject_search?search_text=%E5%8C%97%E4%BA%AC%E7%88%B1%E6%83%85%E6%95%85%E4%BA%8B%20%E9%99%88%E6%80%9D%E8%AF%9A,都市爱情片代表
97,陈思诚,男,大陆,唐人街探案,2015,喜剧/悬疑/动作,当代,泰国曼谷,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%94%90%E4%BA%BA%E8%A1%97%E6%8E%A2%E6%A1%88%20%E9%99%88%E6%80%9D%E8%AF%9A,https://movie.douban.com/subject_search?search_text=%E5%94%90%E4%BA%BA%E8%A1%97%E6%8E%A2%E6%A1%88%20%E9%99%88%E6%80%9D%E8%AF%9A,悬疑喜剧系列代表
98,陈思诚,男,大陆,唐人街探案2,2018,喜剧/悬疑/动作,当代,美国纽约,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%94%90%E4%BA%BA%E8%A1%97%E6%8E%A2%E6%A1%882%20%E9%99%88%E6%80%9D%E8%AF%9A,https://movie.douban.com/subject_search?search_text=%E5%94%90%E4%BA%BA%E8%A1%97%E6%8E%A2%E6%A1%882%20%E9%99%88%E6%80%9D%E8%AF%9A,国产系列电影商业化代表
99,陈思诚,男,大陆,唐人街探案3,2021,喜剧/悬疑/动作,当代,日本东京,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%94%90%E4%BA%BA%E8%A1%97%E6%8E%A2%E6%A1%883%20%E9%99%88%E6%80%9D%E8%AF%9A,https://movie.douban.com/subject_search?search_text=%E5%94%90%E4%BA%BA%E8%A1%97%E6%8E%A2%E6%A1%883%20%E9%99%88%E6%80%9D%E8%AF%9A,春节档系列大片代表
100,徐峥,男,大陆,人再囧途之泰囧,2012,喜剧/公路,当代,泰国曼谷及周边,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%BA%BA%E5%86%8D%E5%9B%A7%E9%80%94%E4%B9%8B%E6%B3%B0%E5%9B%A7%20%E5%BE%90%E5%B3%A5,https://movie.douban.com/subject_search?search_text=%E4%BA%BA%E5%86%8D%E5%9B%A7%E9%80%94%E4%B9%8B%E6%B3%B0%E5%9B%A7%20%E5%BE%90%E5%B3%A5,国产高票房喜剧代表
101,徐峥,男,大陆,港囧,2015,喜剧/爱情,当代,香港,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%B8%AF%E5%9B%A7%20%E5%BE%90%E5%B3%A5,https://movie.douban.com/subject_search?search_text=%E6%B8%AF%E5%9B%A7%20%E5%BE%90%E5%B3%A5,囧系列商业喜剧代表
102,徐峥,男,大陆,囧妈,2020,喜剧/家庭/公路,当代,北京至莫斯科列车、俄罗斯,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%9B%A7%E5%A6%88%20%E5%BE%90%E5%B3%A5,https://movie.douban.com/subject_search?search_text=%E5%9B%A7%E5%A6%88%20%E5%BE%90%E5%B3%A5,家庭公路喜剧代表
